KL;FNN;XAR3;XAR4;XAR5;XAR9;XAR13;XAR22;XAR25;XAR30;XAR31;XAR36;XAR37;XAR44;XAR46
Ткани технические;8305571633050;"ОАО ""ЦНИТИ""";"ОАО ""Глуховский текстиль""";"ОАО ""Глуховский текстиль""";ГОСТ 12125;Готовые ткани;Зеленый;Саржа равносторонняя двухремизная (полотняная);80;65;17;235;Горит;65
Ткани технические;8305571633051;"ОАО ""ЦНИТИ""";"ОАО ""Глуховский текстиль""";"ОАО ""Глуховский текстиль""";ГОСТ 12125;Готовые ткани;Зеленый;Саржа равносторонняя двухремизная (полотняная);80;65;17;235;Горит;65
Ткани технические;8305571633052;"ОАО ""ЦНИТИ""";"ОАО ""Глуховский текстиль""";"ОАО ""Глуховский текстиль""";ГОСТ 12125;Готовые ткани;Зеленый;Саржа равносторонняя двухремизная (полотняная);80;100;17;422;Горит;65
Ткани технические;8305571633055;"ОАО ""ЦНИТИ""";"ЗАО "" ТПК ""ОКТЯБРЬ""";"ЗАО "" ТПК ""ОКТЯБРЬ""";ГОСТ 29250;Суровые ткани;Зеленый;Саржа равносторонняя двухремизная (полотняная);166;100;17;363;Горит;204
Ткани технические;8305571633092;"ОАО ""ЦНИТИ""";"ЗАО ""Рахмановский шелковый комбинат""";"ЗАО ""Рахмановский шелковый комбинат""";ГОСТ 20023;Суровые ткани;Зеленый;Полотняное;108;100;17;166,6;Горит;16
Ткани технические капроновые;8305571629819;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-4387-77 извещение №3;Ткань специального назначения;Различные расцветки;Полотняное;100;100;45;3000;Горит;300
Ткани технические капроновые;8305571629826;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР 0408468-96;Ткань техническая капроновая;Различные расцветки;Полотняное;91;100;24;431;Горит;44
Ткани технические капроновые;8305571629827;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР 0408468-96;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;21;402;Горит;47
Ткани технические капроновые;8305571629828;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР 0408468-96;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;21;402;Горит;48
Ткани технические капроновые;8305571629830;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ""Ультраткань""";ГОСТ 16428;Ткань техническая капроновая;Различные расцветки;Полотняное;89;100;21;410,2;Горит;48,5
Ткани технические капроновые;8305571629832;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428;Ткань техническая капроновая;Различные расцветки;Полотняное;87;100;21;410,2;Горит;49,5
Ткани технические капроновые;8305571629834;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ""Ультраткань""";ГОСТ 16428;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;25;600;Горит;65
Ткани технические капроновые;8305571629836;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ""Ультраткань""";ТУ17 РСФСР 62-5365-80;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;22;550;Горит;68
Ткани технические капроновые;8305571629838;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-1325-79;Ткань техническая капроновая;Различные расцветки;Полотняное;101;100;22;1864;Горит;180
Ткани технические капроновые;8305571629840;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-3846-82;Ткань техническая капроновая;Различные расцветки;Полотняное;98;100;22;1962;Горит;200
Ткани технические капроновые;8305571629841;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-3846-82;Ткань техническая капроновая;Различные расцветки;Полотняное;98;100;22;1962;Горит;200
Ткани технические капроновые;8305571629842;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Ультраткань""";ГОСТ 13090-90;Ткань техническая капроновая;Различные расцветки;Полотняное;101;100;23;490;Горит;58
Ткани технические капроновые;8305571629843;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Ультраткань""";ТУ17 РСФСР 18-8601-90;Ткань техническая капроновая;Различные расцветки;Полотняное;102;100;27;500;Горит;37
Ткани технические капроновые;8305571629845;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-3772-81;Ткань техническая капроновая;Различные расцветки;Полотняное;99;100;22;490;Горит;38
Ткани технические капроновые;8305571629847;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;87;100;26;1127;Горит;116
Ткани технические капроновые;8305571629848;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;87;100;26;1127;Горит;118
Ткани технические капроновые;8305571629850;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;85;100;26;980;Горит;125
Ткани технические капроновые;8305571629852;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Ультраткань""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;92;100;23;1960;Горит;170
Ткани технические капроновые;8305571629853;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;86;100;22;1960;Горит;180
Ткани технические капроновые;8305571629855;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;85;100;25;1960;Горит;181
Ткани технические капроновые;8305571629856;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;85;100;25;1960;Горит;186
Ткани технические капроновые;8305571629854;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Технические ткани""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;86;100;22;1960;Горит;184
Ленты технические;8305571629859;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 44-90-50-87;лента техническая;Различные расцветки;уточный репс;5;200;30;6;медленносгорающая;120
Ленты технические;8305571629861;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 44-1423-80;лента техническая;Различные расцветки;уточный репс;10;200;30;6;медленносгорающая;120
Перкали;8305571629822;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР ГТ-01-35-91;Хлопчатобумажная ткань;Различные расцветки;Саржа равносторонняя двухремизная (полотняная);80;157;30;7;Горит;120
Перкали;8305571629824;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР ГТ-01-53-92;Хлопчатобумажная ткань;Различные расцветки;Саржа равносторонняя двухремизная (полотняная);80;111;30;5;Горит;120
Самозатухающие декоративно-отделочные материалы;8305571629793;"ЗАО ""АвиаТехКом""";"ЗАО ""АвиаТехКом""";"ЗАО ""АвиаТехКом""";ТУ17-969-73;стекляная ткань;Различные расцветки;Полотняное;90;500;40;240;самозатухающая;435
Стеклоткани;8305571629803;"ФКП ""АХК""";"ФКП ""АХК""";"ФКП ""АХК""";ТУ1-92-82-83;стекляная ткань;Различные расцветки;Полотняное;60;40;40;130;медленносгорающая;435
Стеклоткани;8305571629811;"ОАО ""ЦНИИПИК""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17-21-91-76 извещения №1-5;стекляная ткань;Различные расцветки;Полотняное;80;300;40;300;самозатухающая;435
Стеклоткани;8305571633077;"ОАО ""ВНИИСВ""";"ОАО ""Стеклонит""";"ОАО ""Стеклонит""";ГОСТ 19170;стекляная ткань;Различные расцветки;Полотняное;100;365;40;300;медленносгорающая;365
Ткани декоративные самозатухающие;8305571629782;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17РФ19-0320787-4-95;декоративная ткань;Однотонная;Двухслойный;152;794;20;300;самозатухающая;500
Ткани декоративные самозатухающие;8305571629784;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17-09-7-99;декоративная ткань;Однотонная;Жаккардовый;150;794;20;300;самозатухающая;425
Ткани декоративные самозатухающие;8305571629786;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТО17-09-3-96 к ГОСТ 24220-90 извещение 1;декоративная ткань;Различные расцветки;Жаккардовый;160;392;20;300;самозатухающая;435
Ткани облицовочные;8305571629797;"ОАО ""ИСКОЖ""";"ОАО ""ИСКОЖ""";"ОАО ""ИСКОЖ""";ТУ17-21-315-79 извещения №1-6;Хлопчатобумажная ткань;Однотонная;Полотняное;74;245;20;300;самозатухающая;261
Ткани облицовочные;8305571629799;"ОАО ""ИСКОЖ""";"ОАО ""ИСКОЖ""";"ОАО ""ИСКОЖ""";ТУ17-21-315-79 извещения №1-6;Хлопчатобумажная ткань;Однотонная;Полотняное;74;245;20;300;самозатухающая;261
Ткани технические;8305571629812;"ОАО ""Уральский завод РТИ""";"ОАО ""Уральский завод РТИ""";"Фирма ""Дом Технических Тканей""";ТУ38 1051925-90;невулканизированная прорезиненная ткань;Зеленый;Саржевый;74;475;3,5;784,8;самозатухающая;261
Ткани технические;8305571629815;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ1-595-67-382-91;Ткань специального назначения;Зеленый;Саржевый;100;240;3,5;1600;самозатухающая;230
Ткани технические;8305571629817;"ООО ""СпецПромТкань""";"ООО ""СпецПромТкань""";"ООО ""СпецПромТкань""";ТУ17 РСФСР 17-37-52-91;Хлопчатобумажная ткань;Зеленый;Полотняное;100;146;3,5;490;самозатухающая;286
Ткани технические;8305571633049;"ОАО ""ЦНИТИ""";"ОАО ""Глуховский текстиль""";"ОАО ""Глуховский текстиль""";ГОСТ 12125;Суровые ткани;Зеленый;Саржа равносторонняя двухремизная (полотняная);80;120;17;245;Горит;72
Ткани технические;8305571633053;"ОАО ""ЦНИТИ""";"ЗАО ""Рахмановский шелковый комбинат""";"ЗАО ""Рахмановский шелковый комбинат""";ГОСТ 20023;Суровые ткани;Зеленый;Полотняное;96;100;17;117,6;Горит;23
Ткани технические капроновые;8305571629820;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-4387-77 извещение №3;Ткань специального назначения;Различные расцветки;Полотняное;100;100;50;3000;Горит;310
Ткани технические капроновые;8305571629829;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 0408468-96;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;21;402;Горит;50
Ткани технические капроновые;8305571629831;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428;Ткань техническая капроновая;Различные расцветки;Полотняное;87;100;21;410,2;Горит;48
Ткани технические капроновые;8305571629833;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428;Ткань техническая капроновая;Различные расцветки;Полотняное;91;100;25;600;Горит;63
Ткани технические капроновые;8305571629835;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ""Ультраткань""";ТУ17 РСФСР 62-5365-80;Ткань техническая капроновая;Различные расцветки;Полотняное;88;100;25;600;Горит;68
Ткани технические капроновые;8305571629837;"ФГУП ""ВИАМ""";"ЗАО ""Рахмановский шелковый комбинат""";"ЗАО ""Рахмановский шелковый комбинат""";ТУ17 РСФСР 62-1325-79;Ткань техническая капроновая;Различные расцветки;Полотняное;107;100;18;2060;Горит;170
Ткани технические капроновые;8305571629839;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 62-3846-82;Ткань техническая капроновая;Различные расцветки;Полотняное;98;100;22;1962;Горит;192
Ткани технические капроновые;8305571629844;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Ультраткань""";ТУ17 РСФСР 18-8601-90;Ткань техническая капроновая;Различные расцветки;Полотняное;99;100;22;490;Горит;37
Ткани технические капроновые;8305571629846;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;91;100;26;980;Горит;110
Ткани технические капроновые;8305571629849;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;85;100;22;988;Горит;132
Ткани технические капроновые;8305571629851;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Ультраткань""";ГОСТ 16428-89;Ткань техническая капроновая;Различные расцветки;Полотняное;85;100;26;931;Горит;135
Ткани технические капроновые;8305571629857;"ФГУП ""ВИАМ""";"ООО ""Технические ткани""";"ООО ""Технические ткани""";ГОСТ 16428-01;Ткань техническая капроновая;Различные расцветки;Полотняное;105;100;26;9800;Горит;118
